dataset_id,cell,object_id,object_bank_status,execution_status,reason_code,reason,n_curves,n_points,successful_groups,coordinate_native,coordinate_analysis,coordinate_transform,coordinate_unit
N004,6,N004.TRAJ_E,ADAPTED,valid,,summary from valid Cell-4 fits,6.0,9122.0,0,neutron_energy_eV,log(neutron_energy_eV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
E001,4,E001.TRAJ_E,ADAPTED,valid,,robust observable-specific summaries; unsupported dimensions omitted,4.0,81.0,0,electron_energy_MeV,log(electron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
E001,6,E001.TRAJ_E,ADAPTED,valid,,summary from valid Cell-4 fits,4.0,81.0,0,electron_energy_MeV,log(electron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
PN002,4,PN002.TRAJ_RXN,ADAPTED,valid,,robust observable-specific summaries; unsupported dimensions omitted,64.0,261.0,0,incident_photon_energy_MeV,log(incident_photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
PN002,6,PN002.TRAJ_RXN,ADAPTED,valid,,summary from valid Cell-4 fits,64.0,261.0,0,incident_photon_energy_MeV,log(incident_photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
P005_SIM,4,P005_SIM.TRAJ_SPEC,ADAPTED,conditional_fail,NO_VALID_LYAPUNOV_RESULTS,AtlasStructuralFail: No curve/embedding combination passed support and local-Jacobian gates,64.0,16.0,0,depth_MFP,depth_MFP,identity,MFP
P005_SIM,6,P005_SIM.TRAJ_SPEC,ADAPTED,skipped_dependency,CELL4_UNAVAILABLE,Cell 4 unavailable: AtlasStructuralFail: No curve/embedding combination passed support and local-Jacobian gates,,,0,depth_MFP,depth_MFP,identity,MFP
PN003,4,PN003.TRAJ_EXFOR,ADAPTED,valid,,robust observable-specific summaries; unsupported dimensions omitted,64.0,305.0,0,incident_photon_energy_MeV,log(incident_photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
PN003,6,PN003.TRAJ_EXFOR,ADAPTED,valid,,summary from valid Cell-4 fits,64.0,305.0,0,incident_photon_energy_MeV,log(incident_photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
PVAL_6MV,4,PVAL_6MV.TRAJ_PDD,ADAPTED,valid,,robust observable-specific summaries; unsupported dimensions omitted,1.0,70.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_6MV,6,PVAL_6MV.TRAJ_PDD,ADAPTED,valid,,summary from valid Cell-4 fits,1.0,70.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_10MV,4,PVAL_10MV.TRAJ_PDD,ADAPTED,valid,,robust observable-specific summaries; unsupported dimensions omitted,1.0,71.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_10MV,6,PVAL_10MV.TRAJ_PDD,ADAPTED,valid,,summary from valid Cell-4 fits,1.0,71.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_15MV,4,PVAL_15MV.TRAJ_PDD,ADAPTED,valid,,robust observable-specific summaries; unsupported dimensions omitted,1.0,70.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_15MV,6,PVAL_15MV.TRAJ_PDD,ADAPTED,valid,,summary from valid Cell-4 fits,1.0,70.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_16MV,4,PVAL_16MV.TRAJ_PDD,ADAPTED,conditional_fail,NO_VALID_LYAPUNOV_RESULTS,AtlasStructuralFail: No curve/embedding combination passed support and local-Jacobian gates,1.0,31.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_16MV,6,PVAL_16MV.TRAJ_PDD,ADAPTED,skipped_dependency,CELL4_UNAVAILABLE,Cell 4 unavailable: AtlasStructuralFail: No curve/embedding combination passed support and local-Jacobian gates,,,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_18MV,4,PVAL_18MV.TRAJ_PDD,ADAPTED,valid,,robust observable-specific summaries; unsupported dimensions omitted,1.0,81.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_18MV,6,PVAL_18MV.TRAJ_PDD,ADAPTED,valid,,summary from valid Cell-4 fits,1.0,81.0,0,water_depth_cm,water_depth_cm,identity,cm
NVAL_MATHEW,4,NVAL_MATHEW.TRAJ_E,ADAPTED,conditional_fail,NO_VALID_LYAPUNOV_RESULTS,AtlasStructuralFail: No curve/embedding combination passed support and local-Jacobian gates,2.0,49.0,0,neutron_energy_MeV,log(neutron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
NVAL_MATHEW,6,NVAL_MATHEW.TRAJ_E,ADAPTED,skipped_dependency,CELL4_UNAVAILABLE,Cell 4 unavailable: AtlasStructuralFail: No curve/embedding combination passed support and local-Jacobian gates,,,0,neutron_energy_MeV,log(neutron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
NVAL_ZAMORANO,4,,,not_applicable,INSUFFICIENT_SAMPLE_COUNT,Five positions per machine are insufficient for this estimator without inventing pseudo-samples.,,,0,,,,
NVAL_ZAMORANO,6,,,not_applicable,INSUFFICIENT_SAMPLE_COUNT,Five positions per machine are insufficient for this estimator without inventing pseudo-samples.,,,0,,,,
P001,9,P001.TRAJ_E,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,"AtlasStructuralFail: need >=3 comparable, nondegenerate phase-bearing curves with >=48 common points",2.0,46.0,0,photon_energy_MeV,log(photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N001,9,N001.TRAJ_DEPTH,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,"AtlasStructuralFail: need >=3 comparable, nondegenerate phase-bearing curves with >=48 common points",40.0,4.0,0,shield_depth_cm,shield_depth_cm,identity,cm
N002,9,N002.TRAJ_DEPTH,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,"AtlasStructuralFail: need >=3 comparable, nondegenerate phase-bearing curves with >=48 common points",51.0,5.0,0,shield_depth_cm,shield_depth_cm,identity,cm
P002,9,P002.SEQ_TVL,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,"AtlasStructuralFail: need >=3 comparable, nondegenerate phase-bearing curves with >=48 common points",2.0,7.0,0,nominal_beam_MV,nominal_beam_MV,identity,MV
P003,9,P003.TRAJ_BUILD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,"AtlasStructuralFail: need >=3 comparable, nondegenerate phase-bearing curves with >=48 common points",5.0,15.0,0,penetration_MFP,penetration_MFP,identity,MFP
C001,9,C001.SEQ_LINES,ADAPTED,conditional_fail,INSUFFICIENT_UNIQUE_POINTS,AtlasStructuralFail: only 1 unique coordinate points,,,0,,,,
PN001,9,PN001.TRAJ_YIELD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,"AtlasStructuralFail: need >=3 comparable, nondegenerate phase-bearing curves with >=48 common points",1.0,3.0,0,incident_electron_energy_MeV,log(incident_electron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
P004,9,P004.SEQ_MAT,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,"AtlasStructuralFail: need >=3 comparable, nondegenerate phase-bearing curves with >=48 common points",7.0,5.0,0,photon_energy_MeV,log(photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N004,9,N004.TRAJ_E,ADAPTED,valid,,1 comparable ensemble group(s),6.0,9122.0,1,neutron_energy_eV,log(neutron_energy_eV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
E001,9,E001.TRAJ_E,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,"AtlasStructuralFail: need >=3 comparable, nondegenerate phase-bearing curves with >=48 common points",4.0,81.0,0,electron_energy_MeV,log(electron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
PN002,9,PN002.TRAJ_RXN,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,"AtlasStructuralFail: need >=3 comparable, nondegenerate phase-bearing curves with >=48 common points",64.0,261.0,0,incident_photon_energy_MeV,log(incident_photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
P005_SIM,9,P005_SIM.TRAJ_SPEC,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,"AtlasStructuralFail: need >=3 comparable, nondegenerate phase-bearing curves with >=48 common points",64.0,16.0,0,depth_MFP,depth_MFP,identity,MFP
PN003,9,PN003.TRAJ_EXFOR,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,"AtlasStructuralFail: need >=3 comparable, nondegenerate phase-bearing curves with >=48 common points",64.0,305.0,0,incident_photon_energy_MeV,log(incident_photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
PVAL_6MV,9,PVAL_6MV.TRAJ_PDD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,"AtlasStructuralFail: need >=3 comparable, nondegenerate phase-bearing curves with >=48 common points",1.0,70.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_10MV,9,PVAL_10MV.TRAJ_PDD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,"AtlasStructuralFail: need >=3 comparable, nondegenerate phase-bearing curves with >=48 common points",1.0,71.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_15MV,9,PVAL_15MV.TRAJ_PDD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,"AtlasStructuralFail: need >=3 comparable, nondegenerate phase-bearing curves with >=48 common points",1.0,70.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_16MV,9,PVAL_16MV.TRAJ_PDD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,"AtlasStructuralFail: need >=3 comparable, nondegenerate phase-bearing curves with >=48 common points",1.0,31.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_18MV,9,PVAL_18MV.TRAJ_PDD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,"AtlasStructuralFail: need >=3 comparable, nondegenerate phase-bearing curves with >=48 common points",1.0,81.0,0,water_depth_cm,water_depth_cm,identity,cm
NVAL_MATHEW,9,NVAL_MATHEW.TRAJ_E,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,"AtlasStructuralFail: need >=3 comparable, nondegenerate phase-bearing curves with >=48 common points",2.0,49.0,0,neutron_energy_MeV,log(neutron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
NVAL_ZAMORANO,9,NVAL_ZAMORANO.SEQ_POS,CONDITIONAL,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,"AtlasStructuralFail: need >=3 comparable, nondegenerate phase-bearing curves with >=48 common points",2.0,5.0,0,measurement_position_index,measurement_position_index,identity,index
P001,13,P001.TRAJ_E,ADAPTED,valid,,1 group(s); raw locking marked model-dominated,2.0,46.0,1,photon_energy_MeV,log(photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N001,13,N001.TRAJ_DEPTH,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves and >=40 common coordinate points,40.0,4.0,0,shield_depth_cm,shield_depth_cm,identity,cm
N002,13,N002.TRAJ_DEPTH,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves and >=40 common coordinate points,51.0,5.0,0,shield_depth_cm,shield_depth_cm,identity,cm
P002,13,P002.SEQ_TVL,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves and >=40 common coordinate points,2.0,7.0,0,nominal_beam_MV,nominal_beam_MV,identity,MV
P003,13,P003.TRAJ_BUILD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves and >=40 common coordinate points,5.0,15.0,0,penetration_MFP,penetration_MFP,identity,MFP
C001,13,C001.SEQ_LINES,ADAPTED,conditional_fail,INSUFFICIENT_UNIQUE_POINTS,AtlasStructuralFail: only 1 unique coordinate points,,,0,,,,
PN001,13,PN001.TRAJ_YIELD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves and >=40 common coordinate points,1.0,3.0,0,incident_electron_energy_MeV,log(incident_electron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
P004,13,P004.SEQ_MAT,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves and >=40 common coordinate points,7.0,5.0,0,photon_energy_MeV,log(photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N004,13,N004.TRAJ_E,ADAPTED,valid,,1 group(s); raw locking marked model-dominated,6.0,9122.0,1,neutron_energy_eV,log(neutron_energy_eV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
E001,13,E001.TRAJ_E,ADAPTED,valid,,1 group(s); raw locking marked model-dominated,4.0,81.0,1,electron_energy_MeV,log(electron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
PN002,13,PN002.TRAJ_RXN,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves and >=40 common coordinate points,64.0,261.0,0,incident_photon_energy_MeV,log(incident_photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
P005_SIM,13,P005_SIM.TRAJ_SPEC,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves and >=40 common coordinate points,64.0,16.0,0,depth_MFP,depth_MFP,identity,MFP
PN003,13,PN003.TRAJ_EXFOR,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves and >=40 common coordinate points,64.0,305.0,0,incident_photon_energy_MeV,log(incident_photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
PVAL_6MV,13,PVAL_6MV.TRAJ_PDD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves and >=40 common coordinate points,1.0,70.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_10MV,13,PVAL_10MV.TRAJ_PDD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves and >=40 common coordinate points,1.0,71.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_15MV,13,PVAL_15MV.TRAJ_PDD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves and >=40 common coordinate points,1.0,70.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_16MV,13,PVAL_16MV.TRAJ_PDD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves and >=40 common coordinate points,1.0,31.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_18MV,13,PVAL_18MV.TRAJ_PDD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves and >=40 common coordinate points,1.0,81.0,0,water_depth_cm,water_depth_cm,identity,cm
NVAL_MATHEW,13,NVAL_MATHEW.TRAJ_E,ADAPTED,valid,,1 group(s); raw locking marked model-dominated,2.0,49.0,1,neutron_energy_MeV,log(neutron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
NVAL_ZAMORANO,13,NVAL_ZAMORANO.SEQ_POS,CONDITIONAL,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves and >=40 common coordinate points,2.0,5.0,0,measurement_position_index,measurement_position_index,identity,index
P001,17,P001.TRAJ_E,ADAPTED,valid,,1 group(s); unwrapped rotation remains primary and model features use a uniform-phase baseline contrast,2.0,46.0,1,photon_energy_MeV,log(photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N001,17,N001.TRAJ_DEPTH,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves,40.0,4.0,0,shield_depth_cm,shield_depth_cm,identity,cm
N002,17,N002.TRAJ_DEPTH,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves,51.0,5.0,0,shield_depth_cm,shield_depth_cm,identity,cm
P002,17,P002.SEQ_TVL,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves,2.0,7.0,0,nominal_beam_MV,nominal_beam_MV,identity,MV
P003,17,P003.TRAJ_BUILD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves,5.0,15.0,0,penetration_MFP,penetration_MFP,identity,MFP
C001,17,C001.SEQ_LINES,ADAPTED,conditional_fail,INSUFFICIENT_UNIQUE_POINTS,AtlasStructuralFail: only 1 unique coordinate points,,,0,,,,
PN001,17,PN001.TRAJ_YIELD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves,1.0,3.0,0,incident_electron_energy_MeV,log(incident_electron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
P004,17,P004.SEQ_MAT,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves,7.0,5.0,0,photon_energy_MeV,log(photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N004,17,N004.TRAJ_E,ADAPTED,valid,,1 group(s); unwrapped rotation remains primary and model features use a uniform-phase baseline contrast,6.0,9122.0,1,neutron_energy_eV,log(neutron_energy_eV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
E001,17,E001.TRAJ_E,ADAPTED,valid,,1 group(s); unwrapped rotation remains primary and model features use a uniform-phase baseline contrast,4.0,81.0,1,electron_energy_MeV,log(electron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
PN002,17,PN002.TRAJ_RXN,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves,64.0,261.0,0,incident_photon_energy_MeV,log(incident_photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
P005_SIM,17,P005_SIM.TRAJ_SPEC,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves,64.0,16.0,0,depth_MFP,depth_MFP,identity,MFP
PN003,17,PN003.TRAJ_EXFOR,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves,64.0,305.0,0,incident_photon_energy_MeV,log(incident_photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
PVAL_6MV,17,PVAL_6MV.TRAJ_PDD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves,1.0,70.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_10MV,17,PVAL_10MV.TRAJ_PDD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves,1.0,71.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_15MV,17,PVAL_15MV.TRAJ_PDD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves,1.0,70.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_16MV,17,PVAL_16MV.TRAJ_PDD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves,1.0,31.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_18MV,17,PVAL_18MV.TRAJ_PDD,ADAPTED,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves,1.0,81.0,0,water_depth_cm,water_depth_cm,identity,cm
